Waktu,Tipe Kejadian,Kabupaten / Kota,Cuaca,Tingkatan
01/03/2025 04.00.00,Banjir,Ngawi Kabupaten,Hujan Lebat,SEDANG
28/02/2025 23.00.00,Banjir,Mojokerto Kabupaten,Hujan Sedang,SEDANG
28/02/2025 21.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,SEDANG
28/02/2025 20.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,RENDAH
28/02/2025 20.00.00,Banjir,Nganjuk Kabupaten,Hujan Lebat,RENDAH
28/02/2025 19.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
28/02/2025 18.00.00,Banjir,Situbondo Kabupaten,Hujan Lebat,RENDAH
28/02/2025 17.00.00,Banjir,Jombang Kabupaten,Hujan Sedang - Lebat,RENDAH
28/02/2025 12.08.00,Banjir Bandang,Kediri Kabupaten,Hujan Lebat,RENDAH
28/02/2025 02.05.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,SEDANG
27/02/2025 13.25.00,Banjir,Gresik Kabupaten,Hujan Ringan,SEDANG
26/02/2025 20.20.00,Banjir,Lamongan Kabupaten,Hujan Lebat,SEDANG
26/02/2025 17.00.00,Banjir,Tuban Kabupaten,Hujan,SEDANG
26/02/2025 13.00.00,Banjir,Pamekasan Kabupaten,Hujan,RENDAH
26/02/2025 07.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,SEDANG
26/02/2025 05.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,TINGGI
25/02/2025 20.00.00,Banjir,Madiun Kabupaten,Berawan,RENDAH
25/02/2025 19.34.17,Banjir,Mojokerto Kabupaten,Hujan Ringan,SEDANG
25/02/2025 06.08.35,Banjir,Bojonegoro Kabupaten,Berawan,RENDAH
24/02/2025 20.00.00,Banjir,Gresik Kabupaten,Hujan,TINGGI
24/02/2025 19.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,RENDAH
24/02/2025 19.00.00,Banjir,Jombang Kabupaten,Hujan lebat,RENDAH
24/02/2025 18.05.00,Banjir,Mojokerto Kabupaten,Hujan lebat,SEDANG
24/02/2025 18.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,TINGGI
24/02/2025 17.00.00,Banjir,Mojokerto Kabupaten,Hujan Lebat,SEDANG
24/02/2025 16.00.00,Banjir,Mojokerto Kabupaten,Hujan Sedang,RENDAH
24/02/2025 16.00.00,Banjir,Trenggalek Kabupaten,Hujan Lebat,SEDANG
24/02/2025 16.00.00,Banjir,Lamongan Kabupaten,Hujan Lebat,RENDAH
24/02/2025 16.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,RENDAH
24/02/2025 15.30.00,Banjir,Pacitan Kabupaten,Berawan,RENDAH
24/02/2025 15.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,TINGGI
24/02/2025 14.00.00,Banjir,Jember Kabupaten,Hujan Sedang - Lebat,RENDAH
24/02/2025 12.00.00,Banjir,Pasuruan Kabupaten,Hujan Sedang - Lebat,TINGGI
23/02/2025 14.30.00,Banjir,Pasuruan Kabupaten,Hujan Ringan,RENDAH
23/02/2025 14.30.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
22/02/2025 14.30.00,Banjir,Tulungagung Kabupaten,Hujan,RENDAH
22/02/2025 14.00.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
22/02/2025 14.00.00,Banjir,Pasuruan Kabupaten,Hujan,SEDANG
22/02/2025 14.00.00,Banjir,Probolinggo Kabupaten,Hujan,RENDAH
20/02/2025 20.00.00,Banjir,Sidoarjo Kabupaten,Hujan lebat,RENDAH
19/02/2025 21.00.00,Banjir,Pasuruan Kabupaten,Hujan Lebat,RENDAH
18/02/2025 18.00.00,Banjir,Pasuruan Kota,Hujan Lebat,RENDAH
17/02/2025 16.30.00,Banjir,Blitar Kabupaten,Hujan,RENDAH
17/02/2025 16.00.00,Banjir,Banyuwangi Kabupaten,Hujan,RENDAH
17/02/2025 15.00.00,Banjir,Pasuruan Kabupaten,Cerah Berawan,RENDAH
17/02/2025 14.00.00,Banjir,Pasuruan Kabupaten,Hujan,RENDAH
16/02/2025 14.30.00,Banjir,Tulungagung Kabupaten,Hujan sedang - lebat,RENDAH
10/02/2025 10.30.00,Banjir Rob,Gresik Kabupaten,Berawan,RENDAH
07/02/2025 15.00.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
06/02/2025 17.00.00,Banjir,Situbondo Kabupaten,Hujan Lebat,RENDAH
05/02/2025 21.30.00,Banjir,Probolinggo Kabupaten,Hujan,RENDAH
05/02/2025 21.00.00,Banjir,Probolinggo Kabupaten,Hujan,SEDANG
05/02/2025 20.00.00,Banjir,Situbondo Kabupaten,Hujan,RENDAH
05/02/2025 17.00.00,Banjir,Situbondo Kabupaten,Hujan,RENDAH
05/02/2025 13.00.00,Banjir Rob,Trenggalek Kabupaten,Berawan,RENDAH
03/02/2025 17.30.00,Banjir dan Tanah Longsor,Bondowoso Kabupaten,Hujan Sedang,TINGGI
03/02/2025 17.00.00,Banjir,Situbondo Kabupaten,Hujan Sedang - Lebat,SEDANG
03/02/2025 15.00.00,Banjir Bandang,Situbondo Kabupaten,Hujan Lebat,SEDANG
02/02/2025 19.00.00,Banjir,Bondowoso Kabupaten,Hujan Lebat,SEDANG
29/01/2025 22.00.00,Banjir Rob,Situbondo Kabupaten,Berawan,RENDAH
29/01/2025 16.30.00,Banjir,Kediri Kabupaten,Hujan Lebat,SEDANG
28/01/2025 17.00.00,Banjir,Banyuwangi Kabupaten,Hujan Lebat,SEDANG
28/01/2025 13.00.00,Banjir,Nganjuk Kabupaten,Hujan,RENDAH
27/01/2025 21.00.00,Banjir,Magetan Kabupaten,Hujan Sedang - Lebat,RENDAH
27/01/2025 17.00.00,Banjir,Ngawi Kabupaten,Hujan Sedang,RENDAH
27/01/2025 16.15.00,Banjir,Jombang Kabupaten,Hujan Lebat,SEDANG
27/01/2025 15.30.00,Banjir dan Tanah Longsor,Madiun Kabupaten,Hujan Lebat,SEDANG
27/01/2025 15.00.00,Banjir,Bojonegoro Kabupaten,Hujan Lebat,SEDANG
27/01/2025 14.30.00,Banjir,Magetan Kabupaten,Hujan Sedang,RENDAH
27/01/2025 14.00.00,Banjir,Malang Kabupaten,Hujan Lebat,RENDAH
27/01/2025 14.00.00,Banjir,Pasuruan Kota,Hujan Lebat,SEDANG
27/01/2025 13.00.00,Banjir,Nganjuk Kabupaten,Hujan Sedang,RENDAH
26/01/2025 20.30.00,Banjir,Tuban Kabupaten,Hujan Lebat,RENDAH
26/01/2025 07.00.00,Banjir,Pasuruan Kota,Hujan,SEDANG
25/01/2025 18.00.00,Banjir,Sidoarjo Kabupaten,Hujan Lebat,RENDAH
25/01/2025 15.00.00,Banjir,Sampang Kabupaten,Hujan,RENDAH
25/01/2025 11.30.00,Banjir,Pamekasan Kabupaten,Hujan Lebat,RENDAH
24/01/2025 19.00.00,Banjir,Malang Kabupaten,Hujan Ringan,RENDAH
24/01/2025 14.00.00,Banjir,Malang Kabupaten,Hujan Lebat,SEDANG
23/01/2025 19.00.00,Banjir,Gresik Kabupaten,Hujan Lebat,SEDANG
23/01/2025 14.28.00,Banjir,Bondowoso Kabupaten,Cerah Berawan,RENDAH
23/01/2025 13.25.00,Banjir,Situbondo Kabupaten,Hujan,RENDAH
23/01/2025 10.40.00,Banjir,Lamongan Kabupaten,Cerah Berawan,SEDANG
23/01/2025 03.00.00,Banjir,Mojokerto Kabupaten,Berawan,SEDANG
22/01/2025 23.00.00,Banjir,Jombang Kabupaten,Hujan Lebat,SEDANG
22/01/2025 19.42.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
22/01/2025 18.00.00,Banjir,Blitar Kabupaten,Hujan Lebat,RENDAH
22/01/2025 16.00.00,Banjir,Nganjuk Kabupaten,Hujan Sedang,RENDAH
22/01/2025 10.30.00,Banjir,Batu Kota,Hujan Lebat,RENDAH
